,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
10,JahanbakhshBHAMID,Jahanbakhsh,BHA,MID,0.0,0.0,61.0,5.0,6.0,104.0,0.0,16.0,0.0,35.5,94.4,1014.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.1%,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Brighton,19,20,Alireza Jahanbakhsh,F M,19,1021,0,0,1.85,0.44,0.70+0.70,0.19+0.19,0.06,0.02,Jahanbakhsh
11,KayalBHAMID,Kayal,BHA,MID,1.0,0.0,136.0,4.0,4.5,59.3,0.0,17.0,1.0,33.6,224.0,935.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.2%,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Brighton,11,12,Beram Kayal,M,18,937,1,1,0.48,0.38,0.29-0.71,1.18+0.18,0.03,0.11,Kayal
12,KnockaertBHAMID,Knockaert,BHA,MID,6.0,2.0,293.0,3.0,5.5,580.8,0.0,41.0,2.0,131.4,389.6,1828.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0%,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Brighton,4,5,Anthony Knockaert,F M,30,1823,2,6,1.33,1.73,2.11+0.11,4.21-1.79,0.1,0.21,Knockaert
13,LocadiaBHAFWD,Locadia,BHA,FWD,0.0,6.0,155.0,3.0,5.5,190.8,0.0,21.0,2.0,69.7,154.4,1225.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.4%,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Brighton,6,7,Jürgen Locadia,F M,26,1229,2,0,2.05,0.95,3.39+1.39,0.96+0.96,0.25,0.07,Locadia
14,MarchBHAMID,March,BHA,MID,6.0,5.0,342.0,6.0,5.0,684.5,0.0,40.0,1.0,156.6,474.6,2459.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.6%,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Brighton,8,9,Solly March,F M,35,2480,1,5,1.56,1.49,2.20+1.20,5.21+0.21,0.08,0.19,March
15,MontoyaBHADEF,Montoya,BHA,DEF,1.0,1.0,351.0,3.0,4.5,289.2,0.0,41.0,0.0,78.6,437.6,2166.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5%,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Brighton,12,13,Martín Montoya,D,25,2165,0,1,0.33,0.75,0.19+0.19,1.18+0.18,0.01,0.05,Montoya
16,MurrayBHAFWD,Murray,BHA,FWD,1.0,16.0,337.0,4.0,6.0,190.0,0.0,45.0,13.0,148.1,478.0,2501.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,4.1%,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Brighton,0,1,Glenn Murray,F,38,2517,13,1,1.93,0.43,11.54-1.46,1.12+0.12,0.41,0.04,Murray
17,PröpperBHAMID,Pröpper,BHA,MID,1.0,3.0,351.0,4.0,5.0,279.1,0.0,45.0,1.0,79.2,389.2,2546.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.1%,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Brighton,9,10,Davy Pröpper,M,30,2554,1,1,0.53,0.67,0.95-0.05,1.22+0.22,0.03,0.04,Pröpper
18,RyanBHAGKP,Ryan,BHA,GKP,0.0,11.0,547.0,6.0,4.5,0.0,0.0,55.0,0.0,70.9,707.0,3060.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,104.0,0.0,0.0,97.0,13.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Brighton,13,14,Mat Ryan,GK,34,3060,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Ryan
19,StephensBHAMID,Stephens,BHA,MID,1.0,4.0,404.0,5.0,4.5,249.3,0.0,46.0,1.0,83.6,498.2,2484.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,3.1%,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,Brighton,10,11,Dale Stephens,M,30,2485,1,1,0.4,0.65,0.25-0.75,0.59-0.41,0.01,0.02,Stephens
