,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, 
AmadouNORMID,Amadou,NOR,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AmarteyLEIMID,Amartey,LEI,MID,0.0,0.0,103.0,1.0,4.5,46.7,0.0,9.0,0.0,20.8,139.0,639.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.3%,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
AmosTOTMID,Amos,TOT,MID,0.0,0.0,3.0,0.0,4.5,0.1,0.0,0.0,0.0,0.2,2.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AmpaduCHEMID,Ampadu,CHE,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AndoneBHAFWD,Andone,BHA,FWD,0.0,2.0,74.0,2.0,5.0,48.6,0.0,14.0,3.0,54.9,147.2,866.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4%,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
André GomesEVEMID,André Gomes,EVE,MID,2.0,2.0,268.0,9.0,5.5,154.6,0.0,28.0,1.0,63.1,268.4,1977.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.3%,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
AngeliñoMCIDEF,Angeliño,MCI,DEF,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AntonioWHUMID,Antonio,WHU,MID,8.0,6.0,305.0,7.0,7.0,346.2,0.0,30.0,6.0,167.0,482.0,2093.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,2.2%,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
ArmstrongSOUMID,Armstrong,SOU,MID,4.0,3.0,269.0,5.0,5.5,392.4,0.0,26.0,3.0,107.5,305.6,1421.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.2%,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
ArnautovicWHUFWD,Arnautovic,WHU,FWD,5.0,15.0,405.0,4.0,7.0,500.6,0.0,34.0,10.0,199.2,551.6,1988.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.3%,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
AtsuNEWMID,Atsu,NEW,MID,1.0,0.0,175.0,6.0,5.5,273.0,0.0,18.0,1.0,82.3,218.8,1481.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.1%,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
AubameyangARSFWD,Aubameyang,ARS,FWD,7.0,32.0,756.0,7.0,11.0,484.6,0.0,42.0,22.0,289.6,984.4,2722.0,0.0,1.0,0.0,5.7,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,25.3%,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AurierTOTDEF,Aurier,TOT,DEF,2.0,0.0,116.0,2.0,5.0,108.4,0.0,9.0,0.0,30.5,151.6,562.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.5%,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
AustinSOUFWD,Austin,SOU,FWD,2.0,1.0,117.0,5.0,6.0,115.3,0.0,17.0,2.0,67.4,158.4,970.0,0.0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.4%,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
AyewCRYFWD,Ayew,CRY,FWD,3.0,2.0,114.0,5.0,5.0,207.3,0.0,13.0,1.0,76.7,140.2,1176.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,2.6%,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
AzpilicuetaCHEDEF,Azpilicueta,CHE,DEF,6.0,11.0,822.0,16.0,6.0,525.1,0.0,39.0,1.0,163.2,815.0,3402.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,9.3%,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
BaillyMUNDEF,Bailly,MUN,DEF,0.0,0.0,109.0,1.0,5.0,3.4,0.0,13.0,0.0,16.5,125.0,636.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.1%,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BainesEVEDEF,Baines,EVE,DEF,0.0,0.0,48.0,0.0,5.0,91.4,0.0,6.0,0.0,15.4,48.4,374.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.2%,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BalbuenaWHUDEF,Balbuena,WHU,DEF,0.0,3.0,375.0,5.0,4.5,40.9,0.0,32.0,1.0,77.8,534.6,2013.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.6%,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
BaldockSHUDEF,Baldock,SHU,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BalogunBHADEF,Balogun,BHA,DEF,0.0,0.0,86.0,0.0,4.5,1.1,0.0,10.0,1.0,16.2,134.0,591.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.1%,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
BardsleyBURDEF,Bardsley,BUR,DEF,0.0,0.0,224.0,4.0,4.5,139.6,0.0,27.0,0.0,47.4,267.8,1670.0,1.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.2%,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
BarkleyCHEMID,Barkley,CHE,MID,5.0,5.0,300.0,7.0,6.0,349.0,0.0,13.0,3.0,110.0,324.0,1231.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,7.5%,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
BarnesBURFWD,Barnes,BUR,FWD,3.0,13.0,394.0,7.0,6.5,309.9,0.0,41.0,12.0,192.9,581.2,2378.0,1.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.9%,1042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
BarnesLEIMID,Barnes,LEI,MID,3.0,1.0,139.0,1.0,6.0,242.0,0.0,16.0,1.0,94.8,172.8,1001.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.3%,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BashamSHUDEF,Basham,SHU,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BatshuayiCHEFWD,Batshuayi,CHE,FWD,1.0,5.0,159.0,3.0,7.0,41.4,0.0,11.0,5.0,64.2,198.6,748.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.9%,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BednarekSOUDEF,Bednarek,SOU,DEF,1.0,3.0,365.0,3.0,4.5,108.8,0.0,37.0,0.0,81.9,616.0,2150.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.9%,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
BegovicBOUGKP,Begovic,BOU,GKP,0.0,4.0,363.0,5.0,4.5,0.0,0.0,47.0,0.0,44.2,440.6,2160.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,63.0,0.0,0.0,59.0,3.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BellerínARSDEF,Bellerín,ARS,DEF,5.0,5.0,304.0,4.0,5.5,197.8,0.0,21.0,0.0,73.7,261.6,1532.0,1.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.2%,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
BennettWOLDEF,Bennett,WOL,DEF,0.0,1.0,467.0,9.0,5.0,129.7,0.0,38.0,1.0,86.9,566.4,3060.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.7%,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,
BentekeCRYFWD,Benteke,CRY,FWD,1.0,3.0,65.0,3.0,6.0,118.4,0.0,13.0,1.0,56.1,106.0,807.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0%,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
BernardEVEMID,Bernard,EVE,MID,4.0,5.0,319.0,13.0,6.5,589.6,0.0,19.0,1.0,133.3,366.0,2108.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.6%,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
Bernardo SilvaMCIMID,Bernardo Silva,MCI,MID,8.0,17.0,649.0,15.0,8.0,1026.3,0.0,22.0,7.0,289.6,796.4,2849.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,27.4%,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
BernardoBHADEF,Bernardo,BHA,DEF,1.0,0.0,290.0,2.0,4.5,172.6,0.0,29.0,0.0,70.0,444.2,1749.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.2%,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
BertrandSOUDEF,Bertrand,SOU,DEF,0.0,1.0,291.0,6.0,5.0,379.4,0.0,42.0,1.0,82.6,326.8,2160.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.2%,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
BillingBOUMID,Billing,BOU,MID,0.0,4.0,317.0,5.0,5.0,341.0,0.0,43.0,2.0,121.3,494.6,2187.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.2%,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
BissoumaBHAMID,Bissouma,BHA,MID,0.0,0.0,170.0,3.0,5.0,213.0,0.0,32.0,0.0,66.8,253.4,1764.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0%,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
BjarnasonAVLMID,Bjarnason,AVL,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BolyWOLDEF,Boly,WOL,DEF,0.0,10.0,635.0,8.0,5.0,146.9,0.0,43.0,4.0,137.7,954.2,3168.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,120.0,1.0,0.0,0.0,7.5%,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
BongBHADEF,Bong,BHA,DEF,0.0,0.0,254.0,5.0,4.5,153.3,0.0,34.0,0.0,38.0,220.0,1805.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.2%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BorucBOUGKP,Boruc,BOU,GKP,0.0,4.0,218.0,4.0,4.5,0.0,0.0,18.0,0.0,30.3,302.0,1080.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,46.0,0.0,0.0,39.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
BoufalSOUMID,Boufal,SOU,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BradyBURMID,Brady,BUR,MID,1.0,0.0,77.0,1.0,5.5,194.1,0.0,17.0,0.0,38.2,102.0,714.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.1%,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
BravoMCIGKP,Bravo,MCI,GKP,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BrewsterLIVFWD,Brewster,LIV,FWD,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BrooksBOUMID,Brooks,BOU,MID,6.0,7.0,414.0,9.0,6.5,466.7,0.0,41.0,7.0,167.5,598.0,2263.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.8%,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
BuendíaNORMID,Buendía,NOR,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BurnBHADEF,Burn,BHA,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ButtonBHAGKP,Button,BHA,GKP,0.0,2.0,76.0,1.0,4.0,0.0,0.0,5.0,0.0,8.9,89.2,360.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,26.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ByramNORDEF,Byram,NOR,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CaballeroCHEGKP,Caballero,CHE,GKP,0.0,0.0,45.0,2.0,5.0,1.0,0.0,0.0,0.0,2.6,24.6,180.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CahillCRYDEF,Cahill,CRY,DEF,0.0,0.0,6.0,0.0,4.5,0.0,0.0,0.0,0.0,0.5,4.8,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Calvert-LewinEVEFWD,Calvert-Lewin,EVE,FWD,5.0,3.0,267.0,8.0,6.0,185.7,0.0,26.0,6.0,111.5,321.8,1769.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,2.3%,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
CamachoLIVMID,Camacho,LIV,MID,0.0,0.0,3.0,0.0,4.5,0.0,0.0,1.0,0.0,0.2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CamarasaCRYMID,Camarasa,CRY,MID,4.0,5.0,398.0,9.0,5.0,798.4,0.0,53.0,5.0,170.2,515.8,2569.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.2%,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
CantwellNORMID,Cantwell,NOR,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CapoueWATMID,Capoue,WAT,MID,3.0,8.0,496.0,8.0,5.0,219.2,0.0,48.0,1.0,102.8,656.6,2944.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,1.1%,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,
Carlos SánchezWHUMID,Carlos Sánchez,WHU,MID,0.0,0.0,44.0,0.0,4.5,28.8,0.0,4.0,0.0,7.8,24.6,240.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.3%,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CathcartWATDEF,Cathcart,WAT,DEF,0.0,5.0,552.0,6.0,4.5,25.5,0.0,54.0,3.0,100.8,719.6,3095.0,2.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,4.9%,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
CavaleiroWOLMID,Cavaleiro,WOL,MID,1.0,3.0,156.0,1.0,5.0,313.6,0.0,11.0,3.0,66.0,198.0,677.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0%,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
CeballosARSMID,Ceballos,ARS,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ChalobahWATMID,Chalobah,WAT,MID,0.0,0.0,42.0,0.0,4.5,20.2,0.0,7.0,0.0,8.8,35.6,265.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5%,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
ChamberlainLIVMID,Chamberlain,LIV,MID,0.0,0.0,7.0,0.0,6.5,10.8,0.0,0.0,0.0,4.0,10.2,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6%,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ChambersARSDEF,Chambers,ARS,DEF,0.0,0.0,431.0,5.0,4.5,231.9,0.0,52.0,2.0,124.5,609.0,2586.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.7%,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
ChesterAVLDEF,Chester,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ChicharitoWHUFWD,Chicharito,WHU,FWD,4.0,10.0,276.0,6.0,6.0,112.0,0.0,20.0,7.0,93.4,301.0,1326.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,1.1%,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
ChilwellLEIDEF,Chilwell,LEI,DEF,5.0,8.0,578.0,10.0,5.5,674.6,0.0,43.0,0.0,170.0,721.0,3240.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,5.9%,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
